id,path,area,security_relevance
target-100-001,scripts/pfo_metrics.py,workspace metrics thresholding,Ensures live eval blocks sub-target verification and repair-loop metrics.
target-100-002,scripts/validate_workspace_targets.py,new deterministic gate,Fail-closed validator for context coverage verification rate repair loops and live eval status.
target-100-003,scripts/production_readiness.py,readiness wiring,Ensures target metrics are part of deterministic readiness.
target-100-004,scripts/release_check.py,release wiring,Ensures target metrics are checked after mandatory live release proof.
target-100-005,scripts/install_workspace.py,global policy,Clarifies all local projects must auto-connect PFO anywhere on the computer.
target-100-006,scripts/pfo_contract_gate.py,risk classification,Narrows dependency-change marker to real dependency manifests and lockfiles.
target-100-007,reports/target-100-workspace-metrics.json,CI metrics proof,Provides aggregate target values for CI without local workspace state.
target-100-008,.codex-plugin/plugin.json,release metadata,Updates public plugin version to match changelog and marketplace.
target-100-009,marketplace/marketplace-entry.json,release metadata,Updates public marketplace version to match plugin manifest.
target-100-010,dashboard/index.html,metrics rendering,Renders local target values using existing escaping.
